"dataset","method","cutoff","nodes","edges","density","avg_degree","modularity_Q","pos_edges","neg_edges","pos_neg_ratio","largest_component","avg_clustering","n_modules"
"exudate","full",0.5,1835,426712,0.253588439972782,465.081198910082,0.31977994391361,241749,184963,1.30701275390213,1835,0.553447326015821,5
"exudate","full",0.6,1834,291013,0.173133292996863,317.35332606325,0.386383501101857,167897,123116,1.36373014068033,1834,0.537645130399502,7
"exudate","full",0.7,1801,155501,0.09593497439694,172.682953914492,0.497860453099377,91975,63526,1.44783238359097,1786,0.544398216940645,16
"exudate","full",0.8,1679,67955,0.0482401622510703,80.946992257296,0.602852109414854,41738,26217,1.59202044474959,1666,0.550971077603668,13
"microbe_genus","topk=2",0.5,3000,5031,0.00111837279093031,3.354,0.950198221046786,4398,633,6.9478672985782,1844,0.358396031746033,85
"microbe_genus","topk=2",0.6,3000,5031,0.00111837279093031,3.354,0.949945045464403,4398,633,6.9478672985782,1844,0.358396031746033,88
"microbe_genus","topk=2",0.7,3000,5031,0.00111837279093031,3.354,0.950912665526051,4398,633,6.9478672985782,1844,0.358396031746033,86
"microbe_genus","topk=2",0.8,2988,4996,0.00111953225243346,3.34404283801874,0.953377599634456,4379,617,7.09724473257699,1832,0.360582721499753,87
